LASRRA ID,First Name,Surname,Other Name,Matriculation Number,Sex,Date of Birth,Mobile Phone,Email Address,Institution,Campus,Programme Type,Faculty,Department,Enrollment Status,Photograph
LA-2023-0001,Adebayo,Olatunji,Olu,LASCO/22/001,Male,4/15/2001,8012345001,adebayo.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,DWjX6ELYCpUaWHRfhcex,Enrolled,
LA-2023-0002,Chioma,Okafor,Joy,LASCO/22/002,Female,5/20/2002,8123456002,chioma.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,IffTxMKa5pP1L8aPov4B,CSHdyJiNw8pk787kJDnv,Enrolled,
LA-2023-0003,Yusuf,Ibrahim,Aliyu,LASCO/22/003,Male,11/10/1999,9034567003,yusuf.i@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,dGLfl8x8JB39eyWTtzSD,DWjX6ELYCpUaWHRfhcex,Enrolled,
LA-2023-0004,Amina,Bello,Zainab,LASCO/22/004,Female,1/25/2003,7045678004,amina.b@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,IffTxMKa5pP1L8aPov4B,CSHdyJiNw8pk787kJDnv,Enrolled,
LA-2023-0005,Emeka,Eze,Chinedu,LASCO/22/005,Male,8/30/2000,8056789005,emeka.e@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,dGLfl8x8JB39eyWTtzSD,DWjX6ELYCpUaWHRfhcex,Enrolled,
LA-2023-0006,Oluwaseun,Adeyemi,Grace,LASCO/22/006,Female,12/14/2001,8167890006,oluwaseun.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,IffTxMKa5pP1L8aPov4B,CSHdyJiNw8pk787kJDnv,Enrolled,
LA-2023-0007,Abubakar,Musa,Sadiq,LASCO/22/007,Male,2/18/1998,9078901007,abubakar.m@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,DWjX6ELYCpUaWHRfhcex,Enrolled,
LA-2023-0008,Ngozi,Nwachukwu,Blessing,LASCO/22/008,Female,9/5/2002,7089012008,ngozi.n@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Sandwich,IffTxMKa5pP1L8aPov4B,CSHdyJiNw8pk787kJDnv,Enrolled,
LA-2023-0009,Tunde,Bakare,Samuel,LASCO/22/009,Male,3/22/2000,8090123009,tunde.b@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,DWjX6ELYCpUaWHRfhcex,Enrolled,
LA-2023-0010,Fatima,Abdullahi,Aisha,LASCO/22/010,Female,7/11/2004,8101234010,fatima.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,IffTxMKa5pP1L8aPov4B,CSHdyJiNw8pk787kJDnv,Enrolled,
LA-2023-0011,David,Okoro,Chukwuemeka,LASCO/22/011,Male,10/9/2001,9012345011,david.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,KdmVyifOdg6TBLSQMQE5,B5khS2gyQMuudnV8uLYp,Enrolled,
LA-2023-0012,Ruth,Edet,Etim,LASCO/22/012,Female,4/16/2003,7023456012,ruth.e@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,KW7P3IAmuIF8UfA732bn,UsQcLDDsZIOunQFppdNR,Enrolled,
LA-2023-0013,Samuel,Lawal,Olamide,LASU/23/001,Male,1/20/2001,8034567013,samuel.l@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,IBfNa7nUxsRLjrL3L8Cg,JX0b6qIu1SP15lzNOMLC,Enrolled,
